,id,name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,Term,Popularity
15087,764797098366671113,Ci House 2,Parthum Wan,13.73752,100.52168,Private room,1150,0,1970-01-01,0.0,6,High,0,Short,Unpopuler
15088,764798510333739630,"50m MRT, Big C, 1 BR condo with Sauna, Pool & Gym",Bang Sue,13.82867865742232,100.52763015031816,Entire home/apt,583,0,1970-01-01,0.0,8,High,0,Short,Unpopuler
15089,764813963823090912,Apartment in Bangkok,Chatu Chak,13.8387120435013,100.5583053184216,Private room,1500,0,1970-01-01,0.0,1,High,0,Short,Unpopuler
15090,753177290747092097,MRT Huaikhwang 1min Luxury condo,Huai Khwang,13.77782,100.57476,Private room,2198,0,1970-01-01,0.0,3,High,0,Short,Unpopuler
15091,753212222096059363,Prime 11-Airy one bedroom-Great Pool and Gym-NANA,Vadhana,13.7428,100.55593,Entire home/apt,1523,1,2022-12-06,1.0,28,Low,1,Short,Unpopuler
15092,753217345875394732,曼谷市中心温馨loft/靠近BTS Surasak/ 带泳池，健身房,Sathon,13.70948,100.51894,Entire home/apt,1500,6,2022-12-22,3.53,29,High,6,Short,Populer
15093,753248714911561659,MRT Huaikhwang 1min Comfortable condo,Huai Khwang,13.77912,100.57411,Private room,1527,0,1970-01-01,0.0,3,High,0,Short,Unpopuler
15094,753267453404046673,- Hyde Sukhumvit 11 - Glamorous Design 2BR -,Vadhana,13.74427,100.55531,Entire home/apt,3486,0,1970-01-01,0.0,28,Low,0,Short,Unpopuler
15095,766475204354944904,Spacious 1 BR/2 beds near Suvarnabhumi Airport,Min Buri,13.7819349,100.7491805,Private room,640,0,1970-01-01,0.0,7,High,0,Short,Unpopuler
15096,766475222372116230,Peaceful Room W/King Bed near Suvarnabhumi Airport,Min Buri,13.781393062134688,100.74838656613156,Private room,450,1,2022-12-24,1.0,7,High,1,Short,Unpopuler
15097,766476340303882751,Vibrant private room/King bed near BKK Airport,Min Buri,13.7818279,100.7467904,Private room,450,0,1970-01-01,0.0,7,High,0,Short,Unpopuler
15098,766491165192725733,20机场直达/近airportlink 和bts phayathai 站/高端雅致一房公寓/,Ratchathewi,13.75855,100.53673,Entire home/apt,1914,0,1970-01-01,0.0,29,Low,0,Long,Unpopuler
15099,766529269206040947,The tree on-nut station,Khlong Toei,13.70255,100.59619,Private room,1179,1,2022-12-13,1.0,2,High,1,Short,Unpopuler
